 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Dez/2020
"Município";"Internações"
"110001 Alta Floresta D'Oeste";1
"110004 Cacoal";4
"110009 Espigão D'Oeste";2
"110020 Porto Velho";8
"110028 Rolim de Moura";5
"110030 Vilhena";8
"120010 Brasiléia";6
"120020 Cruzeiro do Sul";14
"120040 Rio Branco";91
"120050 Sena Madureira";1
"120060 Tarauacá";9
"130030 Autazes";1
"130068 Boa Vista do Ramos";1
"130080 Borba";2
"130083 Caapiranga";3
"130100 Carauari";2
"130120 Coari";8
"130170 Humaitá";4
"130260 Manaus";6
"130340 Parintins";13
"130423 Tonantins";2
"140010 Boa Vista";56
"140045 Pacaraima";1
"140047 Rorainópolis";12
"150010 Abaetetuba";29
"150040 Alenquer";2
"150060 Altamira";19
"150070 Anajás";2
"150080 Ananindeua";12
"150130 Barcarena";8
"150140 Belém";133
"150170 Bragança";10
"150240 Castanhal";23
"150276 Cumaru do Norte";1
"150390 Juruti";2
"150420 Marabá";87
"150442 Marituba";2
"150543 Ourilândia do Norte";7
"150550 Paragominas";29
"150553 Parauapebas";39
"150600 Prainha";1
"150613 Redenção";6
"150618 Rondon do Pará";4
"150620 Salinópolis";3
"150658 Santa Maria das Barreiras";1
"150670 Santana do Araguaia";3
"150680 Santarém";33
"150730 São Félix do Xingu";10
"150790 Soure";1
"150800 Tomé-Açu";2
"150805 Trairão";1
"150830 Viseu";2
"160027 Laranjal do Jari";5
"160030 Macapá";80
"160050 Oiapoque";6
"160060 Santana";19
"210005 Açailândia";5
"210043 Alto Alegre do Maranhão";17
"210080 Anapurus";2
"210095 Arame";1
"210120 Bacabal";13
"210140 Balsas";1
"210160 Barra do Corda";20
"210170 Barreirinhas";15
"210210 Brejo";4
"210230 Buriti Bravo";1
"210232 Buriticupu";8
"210240 Cajapió";1
"210280 Carolina";2
"210290 Carutapera";2
"210300 Caxias";36
"210320 Chapadinha";10
"210330 Codó";8
"210350 Colinas";23
"210370 Cururupu";10
"210440 Gonçalves Dias";1
"210467 Governador Nunes Freire";21
"210480 Grajaú";20
"210530 Imperatriz";45
"210540 Itapecuru Mirim";17
"210570 Lago da Pedra";6
"210710 Morros";2
"210800 Pastos Bons";2
"210805 Paulino Neves";3
"210820 Pedreiras";8
"210830 Penalva";2
"210870 Pio XII";1
"210960 Rosário";1
"210980 Santa Helena";1
"211000 Santa Luzia";5
"211010 Santa Quitéria do Maranhão";2
"211120 São José de Ribamar";3
"211130 São Luís";145
"211157 São Pedro dos Crentes";1
"211170 São Vicente Ferrer";2
"211210 Timbiras";1
"211220 Timon";32
"211270 Vargem Grande";2
"220190 Bom Jesus";8
"220220 Campo Maior";8
"220290 Corrente";4
"220320 Curimatá";1
"220370 Esperantina";1
"220580 Luzilândia";1
"220700 Oeiras";7
